a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag
0.1,3.0,1.0,5.0,1.0,12.0,1.381646671160545e-21,-1.2444315292526065e-25,1.0,-1.299999967,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,1.0,14.0,1.3853158336246835e-21,-1.2451040639891865e-25,1.0,-1.299999967,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,3.0,6.0,1.3818657409893685e-21,-1.2443196712414365e-25,1.0,-1.299999967,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,3.0,8.0,1.3882373326555152e-21,-1.2455240399765793e-25,1.0,-1.299999967,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,3.0,10.0,1.3920708937323017e-21,-1.2462407940646825e-25,1.0,-1.299999967,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,3.0,12.0,1.3946309303854739e-21,-1.2467176543189128e-25,1.0,-1.2999999670000002,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,3.0,14.0,1.3964617945049577e-21,-1.247056648804004e-25,1.0,-1.2999999670000002,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,5.0,6.0,1.4079270862796654e-21,-1.248856361003556e-25,1.0,-1.2999999670000002,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,5.0,6.0,0.5169341926674627,-1.371212777785179e-19,0.7773158670426988,0.7949407331063679,0.0,15.94335614451563,0.0
0.1,3.0,1.0,5.0,5.0,6.0,0.9865884206565341,-1.0685416013686085e-25,0.18886940685537146,-1.9716075510813704,0.0,12.57807416631707,0.0
0.1,3.0,1.0,5.0,5.0,8.0,1.407816424871881e-21,-1.2489101945973614e-25,1.0,-1.2999999670000002,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,5.0,8.0,0.6007262241237864,2.1937112931586437e-24,0.7744550022812364,0.5158623582557367,0.0,15.851857344293135,0.0
0.1,3.0,1.0,5.0,5.0,8.0,0.8961133981567004,7.866156788948557e-24,0.49811298602753173,-0.8609554116816872,0.0,13.766348378502917,0.0
0.1,3.0,1.0,5.0,5.0,10.0,1.4077499270530145e-21,-1.2489452003000306e-25,1.0,-1.2999999670000002,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,5.0,12.0,1.4077056751116752e-21,-1.2489663393071002e-25,1.0,-1.2999999670000002,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,5.0,14.0,1.407673981835947e-21,-1.2489826403781495e-25,1.0,-1.2999999670000002,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,7.0,6.0,1.4343524624787292e-21,-1.2532502238009996e-25,1.0,-1.2999999670000002,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,7.0,6.0,0.4526454983787555,-4.337442509008451e-23,0.7609640615970227,0.991993508688544,0.0,15.8637143030813,0.0
0.1,3.0,1.0,5.0,7.0,8.0,1.4276002359594826e-21,-1.2522200207625876e-25,1.0,-1.2999999670000002,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,7.0,8.0,0.5062657023674224,-1.1602919805624572e-19,0.7757331587806179,0.8287319546289643,0.0,15.939143865527527,0.0
0.1,3.0,1.0,5.0,7.0,8.0,0.992966622178356,-1.4114871979927727e-24,0.13726512633474286,-2.1654128661126455,0.0,12.484581235895849,0.0
0.1,3.0,1.0,5.0,7.0,10.0,1.4235602015848071e-21,-1.2515980224277483e-25,1.0,-1.299999967,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,7.0,10.0,0.5616808500082541,-6.446485420990589e-27,0.7791602359138037,0.6489127910921016,0.0,15.921994055769433,0.0
0.1,3.0,1.0,5.0,7.0,10.0,0.9441911443531813,3.5866240832106473e-25,0.3759521580475209,-1.2947022581270256,0.0,13.166992275867463,0.0
0.1,3.0,1.0,5.0,7.0,12.0,1.4208714670081136e-21,-1.251181312817541e-25,1.0,-1.299999967,0.0,18.1199998688,0.0
